Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
391.38,70.38,CPH,AMS,2022-07-21 06:00,2022-07-21 07:25,UX3756,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 07:05,2022-08-15 09:45,UX1091,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 06:00,2022-07-21 07:25,UX3756,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 15:00,2022-08-15 17:40,UX1093,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 06:00,2022-07-21 07:25,UX3756,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 13:00,2022-08-15 15:40,UX3765,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 06:00,2022-07-21 07:25,UX3756,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 20:25,2022-08-15 23:00,UX3769,AMS,CPH,2022-08-16 16:50,2022-08-16 18:10,UX3771
391.38,70.38,CPH,AMS,2022-07-21 14:10,2022-07-21 15:35,UX3757,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 07:05,2022-08-15 09:45,UX1091,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 14:10,2022-07-21 15:35,UX3757,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 15:00,2022-08-15 17:40,UX1093,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 14:10,2022-07-21 15:35,UX3757,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 13:00,2022-08-15 15:40,UX3765,AMS,CPH,2022-08-15 21:10,2022-08-15 22:30,UX3774
391.38,70.38,CPH,AMS,2022-07-21 14:10,2022-07-21 15:35,UX3757,AMS,MAD,2022-07-21 19:10,2022-07-21 21:50,UX1094,MAD,AMS,2022-08-15 20:25,2022-08-15 23:00,UX3769,AMS,CPH,2022-08-16 16:50,2022-08-16 18:10,UX3771
