Price,Taxes,outbound 1 airport departure,outbound 1 airport arrival,outbound 1 time departure,outbound 1 time arrival,outbound 1 flight number,outbound 2 airport departure,outbound 2 airport arrival,outbound 2 time departure,outbound 2 time arrival,outbound 2 flight number,inbound 1 airport departure,inbound 1 airport arrival,inbound 1 time departure,inbound 1 time arrival,inbound 1 flight number,inbound 2 airport departure,inbound 2 airport arrival,inbound 2 time departure,inbound 2 time arrival,inbound 2 flight number
630.84,28.84,MAD,TFN,2022-05-09 07:05,2022-05-09 09:00,UX9059,TFN,FUE,2022-05-09 15:20,2022-05-09 16:10,UX2139,FUE,LPA,2022-05-16 08:10,2022-05-16 08:50,UX2120,LPA,MAD,2022-05-16 10:00,2022-05-16 13:45,UX9161
630.84,28.84,MAD,TFN,2022-05-09 07:05,2022-05-09 09:00,UX9059,TFN,FUE,2022-05-09 15:20,2022-05-09 16:10,UX2139,FUE,LPA,2022-05-16 10:30,2022-05-16 11:10,UX2122,LPA,MAD,2022-05-16 18:00,2022-05-16 21:50,UX9165
630.84,28.84,MAD,TFN,2022-05-09 11:40,2022-05-09 13:35,UX9118,TFN,FUE,2022-05-09 15:20,2022-05-09 16:10,UX2139,FUE,LPA,2022-05-16 08:10,2022-05-16 08:50,UX2120,LPA,MAD,2022-05-16 10:00,2022-05-16 13:45,UX9161
630.84,28.84,MAD,TFN,2022-05-09 11:40,2022-05-09 13:35,UX9118,TFN,FUE,2022-05-09 15:20,2022-05-09 16:10,UX2139,FUE,LPA,2022-05-16 10:30,2022-05-16 11:10,UX2122,LPA,MAD,2022-05-16 18:00,2022-05-16 21:50,UX9165
